lat,lng,n_records,flex_mean,gsr_mean,bpm_mean
45.431857,12.350858,1,33,325,110
45.431862,12.350796,1,17,331,111
45.431871,12.35085,5,20,340.4,115.8
45.431881,12.350826,1,24,346,112
45.431884,12.350848,1,19,318,112
45.431892,12.350802,6,19.333,340.333,106.833
45.431905,12.350901,1,16,354,110
45.431924,12.350744,22,23.182,350.455,111
45.431926,12.350953,6,22.667,334.5,107.167
45.431969,12.351555,1,14,380,107
45.431976,12.351108,11,18.364,326.455,111.545
45.431977,12.351543,1,22,386,107
45.431987,12.351606,1,22,334,124
45.432,12.351403,1,25,369,101
45.432006,12.351604,1,17,331,117
45.432008,12.35059,5,35.8,357,113.8
45.432014,12.351599,1,27,376,110
45.432014,12.351582,2,14.5,322,115
45.432017,12.351566,1,25,310,108
45.432023,12.351379,1,17,383,104
45.432023,12.351436,1,25,295,104
45.432023,12.351481,6,20.167,316.167,106.333
45.432023,12.351751,11,19.182,337,115.091
45.432027,12.351379,6,19,360.167,110.167
45.432027,12.351436,2,26.5,346.5,91.5
45.432029,12.351306,16,23.812,355.25,109.875
45.432029,12.351478,5,22.8,332.6,112.4
45.432031,12.350547,7,26.714,349.571,114.857
45.432038,12.352111,1,32,281,102
45.432039,12.351487,1,19,340,109
45.43204,12.35182,5,19.2,323.2,117
45.432041,12.351627,1,27,352,123
45.432046,12.351963,11,20.909,344.273,116
45.432051,12.351984,1,10,382,112
45.432056,12.352004,1,23,294,106
45.43206,12.353316,1,15,367,112
45.43206,12.352025,1,17,380,114
45.432061,12.352173,1,29,316,108
45.432063,12.351561,1,17,361,102
45.432064,12.353316,1,20,343,113
45.432065,12.35268,11,22.091,316.636,112.273
45.432065,12.352751,6,22.333,320.333,110.667
45.432065,12.352045,1,20,369,103
45.43207,12.352066,1,14,361,99
45.432071,12.352131,3,27.667,292.333,111.333
45.432072,12.350481,12,22,347.25,111.917
45.432073,12.352818,5,27,322.2,113
45.432075,12.352086,1,25,385,118
45.432083,12.353292,1,17,347,108
45.432086,12.352884,6,23,310.5,107.167
45.432087,12.353285,1,16,313,120
45.432088,12.352912,1,19,352,106
45.432088,12.352507,21,23.714,327.619,106.048
45.432088,12.353396,1,19,296,96
45.432089,12.352941,4,17.5,337.75,108.25
45.432094,12.352174,16,21.75,331.25,110.5
45.432095,12.35301,6,21.667,305,99.667
45.432097,12.353361,1,17,268,121
45.432098,12.353262,1,25,329,101
45.432099,12.352223,5,22.4,331.8,114.4
45.432102,12.353065,5,21,307.8,92.6
45.432103,12.353386,1,26,271,118
45.432107,12.353097,6,22,289.167,97.333
45.432108,12.353362,1,18,270,109
45.432108,12.353297,1,17,284,117
45.432114,12.353314,1,29,274,105
45.432117,12.353276,1,11,363,108
45.432122,12.353333,1,16,308,117
45.432123,12.353308,1,19,292,113
45.432125,12.353269,1,19,357,108
45.432127,12.353456,7,19.714,305.857,114.857
45.432127,12.353385,1,19,337,91
45.432128,12.35353,5,21.2,318.4,119.2
45.43213,12.353412,1,19,284,118
45.432132,12.353308,1,18,289,113
45.432133,12.353197,1,32,338,117
45.432135,12.350367,5,15,337.2,116.4
45.432143,12.353342,1,16,335,116
45.432144,12.353612,6,20.333,276.333,116.167
45.432145,12.353693,5,21.4,292.8,107
45.432146,12.353309,1,27,366,118
45.432148,12.353398,1,28,299,108
45.432156,12.353944,6,17.833,287.167,97
45.432157,12.353372,1,25,324,109
45.432161,12.350319,4,14.75,322,116.25
45.432162,12.350316,1,15,325,105
45.432163,12.353327,1,16,310,108
45.432163,12.350314,1,17,348,95
45.432163,12.353789,6,21.167,289.5,107.667
45.432164,12.350311,5,14.4,327.8,85
45.432165,12.350308,9,17.333,365.444,101.333
45.432166,12.350307,1,28,400,97
45.432166,12.350307,1,27,392,98
45.432167,12.350306,1,25,395,113
45.432167,12.350306,1,27,378,112
45.432168,12.350305,1,27,391,110
45.432168,12.353873,5,18,267.6,92.6
45.432168,12.353324,1,16,306,100
45.432168,12.350304,1,27,358,118
45.432169,12.350304,1,26,375,112
45.432169,12.354026,5,29.4,320.8,107
45.432169,12.350303,1,13,314,120
45.43217,12.350302,1,20,338,124
45.43217,12.350302,1,19,356,122
45.432171,12.350301,1,25,365,112
45.432171,12.350301,1,20,340,116
45.432172,12.350299,5,23,345.2,102.2
45.432172,12.3503,6,19.667,342.333,107.833
45.432188,12.350252,6,20.167,363.833,108.167
45.432217,12.354126,6,21.333,312.167,106.667
45.432219,12.350188,16,19.625,362.375,112
45.432275,12.350065,16,22.375,359,111.312
45.432276,12.350065,6,21,354.5,111.833
45.432326,12.349992,6,21.167,352.5,107.167
45.432363,12.349945,5,21,381.4,109
45.432388,12.349914,11,22.182,359.545,112.636
45.432472,12.349817,6,27.5,350.833,119.5
45.432509,12.349752,5,36.8,364.2,117.2
45.432553,12.349684,11,30.545,358.818,106.636
45.432556,12.34959,1,21,362,98
45.432558,12.349597,1,38,338,103
45.432591,12.349611,1,20,378,91
45.4326,12.349524,1,30,407,93
